Point,X,Y,D,R,V,A,AV,AA,T,T2
118,22.6140188453,0.113870190461,0.257557596425,9.69468028183,2.5,0.0,0.257873382858,0.362064154813,0.10302303857,17.082764716
119,22.851070148,0.147365015349,0.29271701478,8.95006812698,2.5,0.0,0.279327482711,0.183232429016,0.117086805912,17.1998515219
120,23.0733163113,0.184680985058,0.274952337663,54.7212492373,2.5,0.0,0.0456860915064,-2.12438083988,0.109980935065,17.309832457
121,23.2897264147,0.221922335781,0.264868338669,-121.197810785,2.5,0.0,-0.0206274352962,-0.625910283727,0.105947335468,17.4157797924
122,23.502482126,0.258141449295,0.260338724179,-115.002921599,2.5,0.0,-0.0217385781617,-0.0106701650798,0.104135489672,17.5199152821
123,23.7115834453,0.293338325599,0.255809961761,-109.02395854,2.5,0.0,-0.0229307395684,-0.0116508500932,0.102323984704,17.6222392668
124,23.9170303725,0.327512964694,0.251282097491,-102.878249073,2.5,0.0,-0.0243005690953,-0.0136284035013,0.100512838997,17.7227521058
125,24.1587428877,0.367173178492,0.287352992589,-96.6078500621,2.5,0.0,-0.0258778142604,-0.0137221919185,0.114941197036,17.8376933029
126,24.3951930783,0.405361370709,0.281017003145,-90.2553801902,2.5,0.0,-0.0276991797578,-0.0162033389179,0.112406801258,17.9501001041
127,24.6263809444,0.442077541344,0.27468282166,-84.1894441214,2.5,0.0,-0.0296949341582,-0.0181641719373,0.109873128664,18.0599732328
128,24.8523064859,0.477321690398,0.26835057619,-78.4033873931,2.5,0.0,-0.0318863774019,-0.0204158611731,0.107340230476,18.1673134633
129,25.0729697029,0.511093817871,0.262020407134,-72.8905555902,2.5,0.0,-0.0342979962186,-0.0230098376981,0.104808162854,18.2721216261
130,25.2883705954,0.543393923762,0.255692468748,-67.3586708589,2.5,0.0,-0.0371147465964,-0.0275404120394,0.102276987499,18.3743986136
131,25.5330206431,0.579216908914,0.284388528024,-61.8482612123,2.48667100241,-0.116860068607,-0.040205996962,-0.027102092806,0.114059470892,18.4884580845
132,25.7705080824,0.613036309137,0.275958538589,-56.3989978761,2.44752154172,-0.35,-0.0433965430928,-0.0285237938477,0.111855601954,18.6003136865
133,26.0008329132,0.644852124429,0.267532985377,-51.2823770946,2.40896006763,-0.35,-0.046974422874,-0.0324743271068,0.110175640267,18.7104893267
